GEOID,NAME,medhomeval,medhhincome,poverty_rate,bachelors_rate,pBlack,pHispanic,vacancy_rate
17031824602,"Census Tract 8246.02, Cook County, Illinois",156800,62096,0.13466872110939906,0.17738205365402404,0.07149460708782743,0.16024653312788906,0.08973873532752745
17031824701,"Census Tract 8247.01, Cook County, Illinois",164500,67682,0.07811741872877244,0.11647940074906367,0.06259097525473072,0.28820960698689957,0.08638743455497382
17031824702,"Census Tract 8247.02, Cook County, Illinois",138100,51038,0.11588921282798834,0.08769667268506577,0.12572886297376093,0.3108600583090379,0.07870791628753412
17031824800,"Census Tract 8248, Cook County, Illinois",115500,38281,0.18684680091766506,0.1404125644631974,0.2616619933724191,0.5400203925567167,0.06679389312977099
17031824900,"Census Tract 8249, Cook County, Illinois",97100,41090,0.1784977908689249,0.13537320352341214,0.6344624447717231,0.22091310751104565,0.05396565821749796
17031825000,"Census Tract 8250, Cook County, Illinois",170100,63581,0.09515859766277128,0.19525959367945825,0.08159432387312186,0.16193656093489148,0.019617706237424547
17031825200,"Census Tract 8252, Cook County, Illinois",168200,79688,0.041363636363636366,0.12302631578947368,0.16045454545454546,0.3690909090909091,0.013927576601671309
17031825302,"Census Tract 8253.02, Cook County, Illinois",226600,70341,0.07425968109339408,0.2141255605381166,0.13287775246772968,0.11131359149582384,0.05669481302774427
17031825303,"Census Tract 8253.03, Cook County, Illinois",186600,66684,0.07805486284289277,0.19462324876940554,0.04987531172069826,0.1261845386533666,0.12107367218732153
17031825304,"Census Tract 8253.04, Cook County, Illinois",218100,70781,0.0776855693868142,0.18196405648267008,0,0.22083909635776855,0
17031825400,"Census Tract 8254, Cook County, Illinois",208500,63606,0.07819320554184855,0.17862714508580343,0.038527234769405956,0.10590244828240652,0.09268098647573587
17031825501,"Census Tract 8255.01, Cook County, Illinois",130900,56976,0.11269107714184146,0.13432835820895522,0.8922858158549591,0.006932100959829364,0.11803713527851459
17031825503,"Census Tract 8255.03, Cook County, Illinois",130000,56250,0.12303039949068915,0.26923993328568024,0.8351106159477957,6.366385484641095e-4,0.07215288611544461
17031825504,"Census Tract 8255.04, Cook County, Illinois",105500,51875,0.011392765593847906,0.11861544955677501,0.9028766733124466,0.02307035032754201,0.06319444444444444
17031825505,"Census Tract 8255.05, Cook County, Illinois",142400,56509,0.12300102075535897,0.18689934243803744,0.921742089145968,0.004253147329023477,0.10754257907542579
17031825600,"Census Tract 8256, Cook County, Illinois",82800,48967,0.16796949475691134,0.10272922416436676,0.7569113441372736,0.0894184938036225,0.12920168067226892
17031825700,"Census Tract 8257, Cook County, Illinois",96400,46394,0.16041366041366042,0.09697821503865074,0.6180856180856181,0.2474747474747475,0.10049627791563276
17031825801,"Census Tract 8258.01, Cook County, Illinois",86200,44470,0.17145395321291088,0.13887554060547813,0.912940479715724,0.03375777317145395,0.2621412803532009
17031825802,"Census Tract 8258.02, Cook County, Illinois",142300,46627,0.09812940815700705,0.11871318531943816,0.8735050597976081,0.0880098129408157,0.06597077244258873
17031825803,"Census Tract 8258.03, Cook County, Illinois",128100,51217,0.09137544084642514,0.13516113516113515,0.8616543764026932,0.06813081115742226,0.07372400756143667
17031825900,"Census Tract 8259, Cook County, Illinois",98700,50761,0.1680045871559633,0.11403136922424756,0.6685779816513762,0.22935779816513763,0.13749060856498874
17031826000,"Census Tract 8260, Cook County, Illinois",84000,45833,0.15668833390352377,0.03272727272727273,0.5306192268217584,0.3711939787889155,0.34822804314329736
17031826100,"Census Tract 8261, Cook County, Illinois",87200,41792,0.2711717939854822,0.05407677220509947,0.5686138956100933,0.24887659868648462,0.15956591639871381
17031826201,"Census Tract 8262.01, Cook County, Illinois",63500,34808,0.13547400611620794,0.18500350385423966,0.8370030581039756,0.01620795107033639,0.14405594405594405
17031826202,"Census Tract 8262.02, Cook County, Illinois",90700,39852,0.30619684082624543,0.15943312666076173,0.6325290748134005,0.21437250477347683,0.12441811256876852
17031826301,"Census Tract 8263.01, Cook County, Illinois",105700,54347,0.1431159420289855,0.13114754098360656,0.8581780538302277,0.07349896480331262,0.083984375
17031826303,"Census Tract 8263.03, Cook County, Illinois",119400,51186,0.1456536937776742,0.14952945277100035,0.9366115124679562,0.0072244232113726405,0.10799726589200273
